COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de vidrio trasero iphone 11 pro,CAMBIO DE VIDRIO TRASERO,$8.00,"$12,000.00","$19,200.00","$59,200.00","$59,500.00","$77,350.00","$89,250.00"
Cambio de vidrio trasero iphone 11 pro max,CAMBIO DE VIDRIO TRASERO,$9.00,"$13,500.00","$21,600.00","$61,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de vidrio trasero iphone 12 mini,CAMBIO DE VIDRIO TRASERO,$6.00,"$9,000.00","$14,400.00","$54,400.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone 12,CAMBIO DE VIDRIO TRASERO,$6.00,"$9,000.00","$14,400.00","$54,400.00","$59,500.00","$77,350.00","$89,250.00"
Cambio de vidrio trasero iphone 12 pro,CAMBIO DE VIDRIO TRASERO,$9.00,"$13,500.00","$21,600.00","$61,600.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de vidrio trasero iphone 12 pro max,CAMBIO DE VIDRIO TRASERO,$10.00,"$15,000.00","$24,000.00","$64,000.00","$69,500.00","$90,350.00","$104,250.00"
Cambio de vidrio trasero iphone 13 mini,CAMBIO DE VIDRIO TRASERO,$7.00,"$10,500.00","$16,800.00","$56,800.00","$58,000.00","$75,400.00","$87,000.00"
Cambio de vidrio trasero iphone 13,CAMBIO DE VIDRIO TRASERO,$7.00,"$10,500.00","$16,800.00","$56,800.00","$65,000.00","$84,500.00","$97,500.00"
Cambio de vidrio trasero iphone 13 pro,CAMBIO DE VIDRIO TRASERO,$10.00,"$15,000.00","$24,000.00","$64,000.00","$85,000.00","$110,500.00","$127,500.00"
Cambio de vidrio trasero iphone  13 pro max,CAMBIO DE VIDRIO TRASERO,$11.00,"$16,500.00","$26,400.00","$66,400.00","$85,000.00","$110,500.00","$127,500.00"
